S.No,name,title,culture,dateOfBirth,mother,father,heir,house,spouse,book1_A_Game_Of_Thrones,book2_A_Clash_Of_Kings,book3_A_Storm_Of_Swords,book4_A_Feast_For_Crows,book5_A_Dance_with_Dragons,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,popularity,isAlive,name1,gender_guess
74,Rawney,brother,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0.010033445,1,Rawney,unknown
75,Raymar Royce,lord,,,,,,House Royce of the Gates of the Moon,,0,0,1,0,0,,,,,0,1,,0,0.013377926,1,Raymar,unknown
76,Raymond Nayland,ser,,,,,,House Nayland,,0,0,0,1,0,,,,,0,1,,0,0.016722408,1,Raymond,unknown
77,Raymund Tyrell,,,,,,,House Tyrell,,0,0,1,1,0,,,,,0,0,,0,0.127090301,1,Raymund,unknown
78,Red Oarsman,,Ironborn,,,,,,,0,0,0,1,1,,,,,0,0,,0,0.016722408,1,Red,unknown
79,Red Lamb,ser,Lhazarene,,,,,House Targaryen,,0,0,0,0,0,,,,,0,1,,0,0,1,Red,unknown
80,Redtusk,ser,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0.016722408,1,Redtusk,unknown
81,Red Rolfe,,,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0.013377926,0,Red,unknown
82,Redwyn,,,,,,,Night's Watch,,0,1,0,0,0,,,,,0,0,,0,0.006688963,1,Redwyn,unknown
83,Reynard Webber,lord of coldmoat,,,,,,House Webber,,0,0,0,0,0,,,,,0,1,,0,0.006688963,1,Reynard,unknown
84,Reysen,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0.023411371,1,Reysen,unknown
85,Rhaegel Targaryen,prince of dragonstone,Valyrian,173,,,,House Targaryen,Alys Arryn,0,0,0,0,0,,,,1,1,1,42,3,0.096989967,0,Rhaegel,unknown
86,Rhaena Targaryen (daughter of Daemon),lady,,116,,,,House Targaryen,Corwyn Corbray,0,0,0,0,0,,,,1,1,1,100,0,0.143812709,0,Rhaena,unknown
87,Rhaena Targaryen (daughter of Aegon III),princesssepta,Valyrian,147,,,,House Targaryen,,0,0,0,0,0,,,,,0,1,100,0,0.073578595,0,Rhaena,unknown
88,Rhaenys Targaryen,queen,Valyrian,-25,,,,House Targaryen,Aegon I Targaryen,1,0,0,0,0,,,,0,1,1,35,1,0.277591973,0,Rhaenys,unknown
89,Rhaenys Targaryen (daughter of Rhaegar),princess,,280,,,,House Targaryen,,1,1,1,1,1,,,,,0,1,3,10,0.244147157,0,Rhaenys,unknown
90,Rhialta Vance,,,,,,,House Vance of Wayfarer's Rest,,0,0,0,1,0,,,,,0,0,,0,0.016722408,1,Rhialta,unknown
91,Rhaenys Targaryen (daughter of Aemon),princess,Valyrian,74,,,,House Targaryen,Corlys Velaryon,0,0,0,0,0,,,,0,1,1,55,0,0.143812709,0,Rhaenys,unknown
92,Rhonda Rowan,,,,,,,House Rowan,Baelor Hightower,0,0,0,1,0,,,,1,1,0,,0,0.050167224,1,Rhonda,unknown
93,Richard Farrow,ser,,,,,,House Farrow,,0,0,0,1,0,,,,,0,1,,0,0.016722408,0,Richard,unknown
94,Richard Lonmouth,ser,,,,,,House Lonmouth,,0,0,1,0,0,,,,,0,1,,0,0.023411371,1,Richard,unknown
95,Rigney,archmaester,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0.003344482,1,Rigney,unknown
96,Rob,,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,0.003344482,1,Rob,male
97,Rickard Tyrell,,,,,,,House Tyrell,,0,0,1,1,0,,,,,0,0,,0,0.123745819,1,Rickard,unknown
98,Robb Reyne,ser,,,,,,House Reyne,,0,0,0,0,0,,,,,0,1,,0,0.006688963,1,Robb,unknown
99,Robert Ashford,ser,Reach,,,,,House Ashford,,0,0,0,0,0,,,,,0,1,,0,0.023411371,1,Robert,unknown
100,Robert Brax (son of Flement),,,290,,,,House Brax,,0,1,1,1,0,,,,,0,0,15,0,0.120401338,1,Robert,unknown
101,Robert Paege,ser,,,,,,House Paege,,0,0,1,0,0,,,,,0,1,,0,0.010033445,1,Robert,unknown
102,Robb Stark,,,,Catelyn Stark,Eddard Stark,Bran Stark,,,0,0,0,0,0,0,0,1,,0,0,,7,1,0,Robb,unknown
103,Robin,,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.016722408,1,Robin,mostly_male
104,Robert Frey (son of Raymund),,,283,,,,House Frey,,0,1,1,1,0,,,,,0,0,22,0,0.147157191,1,Robert,unknown
105,Robin Greyjoy,,Ironborn,,,,,House Greyjoy,,0,0,0,1,0,,,,,0,0,,0,0.063545151,1,Robin,unknown
106,Robin Hollard,,,,,,,House Hollard,,0,0,0,1,0,,,,,0,0,,0,0.026755853,1,Robin,unknown
107,Rodrik Freeborn,,Ironborn,,,,,,,0,0,0,1,1,,,,,0,0,,0,0.013377926,1,Rodrik,unknown
108,Roelle,septa,,,,,,House Tarth,,0,0,0,1,0,,,,,0,0,,0,0,1,Roelle,unknown
109,Rodrik Stark (son of Beron),,Northmen,,,,,House Stark,Arya Flint,0,0,0,0,1,,,,1,1,0,,0,0.100334448,1,Rodrik,unknown
110,Roger of Pennytree,,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0.030100334,0,Roger,unknown
111,Roggo,,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.013377926,1,Roggo,unknown
112,Roger Ryswell,,Northmen,,,,,House Ryswell,,0,0,0,1,1,,,,,0,0,,0,0.046822742,1,Roger,unknown
113,Rolder,,,,,,,House Lannister,,0,0,0,1,0,,,,,0,0,,0,0,1,Rolder,unknown
114,Roland Crakehall (Kingsguard),ser,,,,,,House Crakehall,,0,0,0,0,0,,,,,0,1,,0,0.02006689,1,Roland,unknown
115,Rolfe,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0.003344482,1,Rolfe,unknown
116,Rolland Darklyn,ser,,,,,,House Darklyn,,0,0,0,1,0,,,,,0,1,,0,0.010033445,1,Rolland,unknown
117,Rollam Westerling,,,290,,,,House Westerling,,0,0,1,1,0,,,,,0,0,15,0,0.043478261,1,Rollam,unknown
118,Romny Weaver,,Ironborn,,,,,House Weaver,,0,0,0,1,0,,,,,0,0,,0,0.02006689,1,Romny,unknown
119,Ronald Storm,,,,,,,House Connington,,0,0,0,0,1,,,,,0,0,,0,0.040133779,1,Ronald,unknown
120,Ronnel Stout,,Northmen,,,,,House Stout,,0,0,1,0,0,,,,,0,0,,0,0.033444816,1,Ronnel,unknown
121,Ronnel Harclay,,,,,,,House Harclay,,0,0,1,0,0,,,,,0,0,,0,0.013377926,1,Ronnel,unknown
122,Roone,,,286,,,,,,0,0,0,1,0,,,,,0,0,19,0,0.040133779,1,Roone,unknown
123,Roone (maester),maester,,,,,,,,0,0,1,1,0,,,,,0,1,,0,0.010033445,1,Roone,unknown
124,Roryn Drumm,,Ironborn,,,,,House Drumm,,0,0,0,1,0,,,,,0,0,,0,0.003344482,1,Roryn,unknown
125,Roose Ryswell,,Northmen,,,,,House Ryswell,,0,0,0,1,1,,,,,0,0,,0,0.030100334,1,Roose,unknown
126,Rosamund Lannister,,,,,,,House Lannister of Lannisport,,0,0,0,1,1,,,,,0,0,,0,0.023411371,1,Rosamund,unknown
127,Rosey,,,284,,,,,,0,0,0,1,0,,,,,0,0,21,0,0.030100334,1,Rosey,unknown
128,Rowan,,Free folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0.060200669,0,Rowan,mostly_male
129,Rudge,,,,,,,Night's Watch,,1,0,0,0,0,,,,,0,0,,0,0,1,Rudge,unknown
130,Runciter,grand maester,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0.244147157,0,Runciter,unknown
131,Rupert Crabb,ser,,,,,,House Crabb,,0,0,0,1,0,,,,,0,1,,0,0.006688963,1,Rupert,unknown
132,Rus,,Ironmen,,,,,Drowned men,,0,0,0,1,0,,,,,0,0,,0,0.010033445,1,Rus,female
133,Rusty Flowers,,,,,,,Night's Watch,,0,0,0,0,1,,,,,0,0,,0,0,1,Rusty,unknown
134,Ryam,archmaester,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0.013377926,1,Ryam,unknown
135,Ryk,,Free folk,,,,,,Munda,0,0,1,1,1,,,,1,1,0,,0,0.026755853,1,Ryk,unknown
136,Ryles,,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0.013377926,0,Ryles,unknown
137,Rymolf,,Ironborn,,,,,House Greyjoy,,0,0,0,0,0,,,,,0,0,,0,0,1,Rymolf,unknown
138,S'vrone,,Braavosi,,,,,,,0,0,0,0,0,,,,,0,0,,0,0.013377926,1,S'vrone,unknown
139,Saathos,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0.003344482,1,Saathos,unknown
140,Sailor's Wife,,,,,,,Happy Port,,0,0,0,0,0,,,,,0,0,,0,0.046822742,1,Sailor's,unknown
141,Sallor,,Qartheen,,,,,Stormcrows,,0,0,1,0,0,,,,,0,0,,0,0.030100334,0,Sallor,unknown
142,Salloreon,,,,,,,Antler Men,,0,1,0,0,0,,,,,0,0,,0,0.013377926,1,Salloreon,unknown
143,Sam Stoops,,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,0.003344482,1,Sam,unknown
144,Samwell Spicer,ser,,,,,,House Spicer,,0,0,1,1,0,,,,,0,1,,0,0.013377926,1,Samwell,unknown
145,Sargon Botley,,Ironborn,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,0.053511706,1,Sargon,unknown
146,Scarb,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0.006688963,1,Scarb,unknown
147,Sawwood,,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0.010033445,1,Sawwood,unknown
148,Sedgekins,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,1,Sedgekins,unknown
149,Sefton Staunton,septon,,,,,,House Staunton,,0,0,0,0,0,,,,,0,0,,0,0.030100334,1,Sefton,unknown
150,Serra,,Lysene,,,,,,Illyrio Mopatis,0,0,0,0,1,,,,1,1,0,,0,0.016722408,1,Serra,female
151,Sharna,,,,,,,,Husband,0,0,1,1,0,,,,1,1,0,,0,0.036789298,1,Sharna,unknown
152,Shella,,,,,,,,,1,0,0,0,0,,,,,0,0,,0,0.003344482,1,Shella,female
153,Sherrit,king,,,,,,,,0,0,1,0,0,,,,,0,1,,0,0.003344482,1,Sherrit,unknown
154,Shortear,,westermen,,,,,House Lannister,,0,0,0,1,0,,,,,0,0,,0,0.013377926,1,Shortear,unknown
155,Shyra,,Northmen,,,,,House Stark,,0,1,0,1,0,,,,,0,0,,0,0.02006689,1,Shyra,unknown
156,Sigfry Stonetree,,Ironborn,,,,,House Stonetree,,0,0,0,1,0,,,,,0,0,,0,0.003344482,1,Sigfry,unknown
157,Sigrin,,Ironborn,,,,,House Greyjoy,,0,1,1,0,0,,,,,0,0,,0,0.023411371,1,Sigrin,unknown
158,Simon Leygood,ser,,,,,,House Leygood,,0,0,0,0,0,,,,,0,1,,0,0.003344482,1,Simon,unknown
159,Sky Blue Su,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,1,Sky,unknown
160,Skinner,,,,,,,House Bolton,,0,0,0,0,1,,,,,0,0,,0,0.033444816,1,Skinner,unknown
161,Skittrick,,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0.006688963,1,Skittrick,unknown
162,Skyte,,Ironborn,,,,,,,0,1,1,1,0,,,,,0,0,,0,0.023411371,1,Skyte,unknown
163,Sloey,,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.016722408,1,Sloey,unknown
164,Spare Boot,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0.013377926,1,Spare,unknown
165,Softfoot,,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0.02006689,0,Softfoot,unknown
166,Spotted Pate of Maidenpool,,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0.013377926,0,Spotted,unknown
167,Squint,,,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0.003344482,0,Squint,unknown
168,Squirrel,,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0.043478261,0,Squirrel,unknown
169,Steffarion Sparr,,Ironborn,,,,,House Sparr,,0,0,0,1,0,,,,,0,0,,0,0.02006689,1,Steffarion,unknown
170,Stafford Lannister,ser,Westerman,246,,,,House Lannister,Myranda Lefford,1,1,1,1,1,,,,1,1,1,53,1,0.170568562,0,Stafford,unknown
171,Steffon Fossoway,ser,,,,,,House Fossoway of Cider Hall,,0,0,0,0,0,,,,,0,1,,0,0.040133779,1,Steffon,unknown
172,Steffon Hollard,ser,,,,,,House Hollard,,0,0,0,1,0,,,,,0,1,,0,0.026755853,1,Steffon,unknown
173,Stannis Baratheon,,,,Cassana Estermont,Steffon Baratheon,Shireen Baratheon,,,0,0,0,0,0,0,0,1,,0,0,,4,1,1,Stannis,unknown
174,Steffon Varner,lord,,,,,,House Varner,,0,1,0,0,0,,,,,0,1,,0,0.013377926,1,Steffon,unknown
175,Stone Thumbs,,Free Folk,,,,,,,0,0,1,0,0,,,,,0,0,,0,0.003344482,0,Stone,unknown
176,Stonehand,,Ironborn,,,,,,,0,0,0,1,1,,,,,0,0,,0,0.010033445,1,Stonehand,unknown
177,Sybassion,,Qarth,,,,,,,0,1,0,0,0,,,,,0,0,,0,0.013377926,1,Sybassion,unknown
178,Sylas,,,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0.006688963,0,Sylas,unknown
179,Symon Stripeback,,,,,,,House Targaryen,,0,0,0,0,1,,,,,0,0,,0,0.043478261,1,Symon,unknown
180,Symond Botley,,Ironborn,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,0.046822742,1,Symond,unknown
181,Tagganaro,,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.030100334,1,Tagganaro,unknown
182,Tal Toraq,,Summer Isles,,,,,House Targaryen,,0,0,0,0,1,,,,,0,0,,0,0.023411371,1,Tal,unknown
183,Talea,,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.02006689,1,Talea,female
184,Talla Tarly,,,,,,,House Tarly,,0,0,1,0,0,,,,,0,0,,0,0.070234114,1,Talla,unknown
185,Tansy,,,,,,,Peach,,0,0,1,1,0,,,,,0,0,,0,0.023411371,1,Tansy,unknown
186,Tansy (orphan),,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.006688963,1,Tansy,unknown
187,Tarber,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0.033444816,1,Tarber,unknown
188,Terrance Lynderly,,,,,,,House Lynderly,,0,0,0,1,0,,,,,0,0,,0,0.016722408,1,Terrance,unknown
189,Terro,,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0.013377926,1,Terro,unknown
190,Theo Frey,ser,,,,,,House Frey,,1,0,0,0,0,,,,,0,1,,0,0.013377926,1,Theo,unknown
191,Theobald,seneschal,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0.02006689,1,Theobald,male
192,Thistle,,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0.016722408,0,Thistle,unknown
193,Theon Stark,,Northmen,,,,,,,0,0,0,0,0,,,,,0,0,,0,0.056856187,1,Theon,unknown
194,Thormor Ironmaker,,Ironborn,,,,,House Ironmaker,,0,0,0,1,0,,,,,0,0,,0,0.016722408,1,Thormor,unknown
195,Tim Stone,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0.016722408,1,Tim,unknown
196,Timon,ser,,,,,,,,0,1,1,0,0,,,,,0,1,,0,0.006688963,1,Timon,male
197,Timett (father),,Vale mountain clans,,,,,Burned Men,,1,1,0,0,1,,,,,0,0,,0,0.013377926,1,Timett,unknown
198,Timoth,,,,,,,House Martell,,0,0,0,1,0,,,,,0,0,,0,0.006688963,1,Timoth,unknown
199,Tobbot,,,,,,,House Clegane,,0,1,0,0,0,,,,,0,0,,0,0.010033445,1,Tobbot,unknown
200,Toefinger,,Free Folk,,,,,,,0,0,1,1,0,,,,,0,0,,0,0.006688963,1,Toefinger,unknown
201,Todric,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0.016722408,0,Todric,unknown
202,Tom Costayne,ser,,,,,,House Costayne,,0,0,0,1,0,,,,,0,1,,0,0.006688963,1,Tom,unknown
203,TomToo,,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0.013377926,1,TomToo,unknown
204,Tommard Heddle,ser,,,,,,House Heddle,,0,0,0,0,0,,,,,0,1,,0,0.046822742,0,Tommard,unknown
205,Toregg,,Free Folk,,,,,,,0,0,1,1,1,,,,,0,0,,0,0.026755853,1,Toregg,unknown
206,Torrek,,Vale mountain clans,,,,,Stone Crows,,1,0,0,0,0,,,,,0,0,,0,0,1,Torrek,unknown
207,Tothmure,maester,,,,,,,,0,1,0,0,0,,,,,0,1,,0,0.013377926,0,Tothmure,unknown
208,Torrhen Stark,,Northmen,,,,,,,0,0,0,0,0,,,,,0,0,,0,0.090301003,1,Torrhen,unknown
209,Tregar,,,,,,,House Lannister,,1,0,0,0,0,,,,,0,0,,0,0.006688963,0,Tregar,unknown
210,Tregar Ormollen,,Lyseni,,,,,,,0,1,0,1,0,,,,,0,0,,0,0.023411371,1,Tregar,unknown
211,Tristan Ryger,,,,,,,House Ryger,,0,0,1,0,0,,,,,0,0,,0,0.006688963,1,Tristan,unknown
212,Tristifer V Mudd,,,,,Tristifer IV Mudd,,,,0,0,0,0,0,,0,,,0,0,,0,0.016722408,1,Tristifer,unknown
213,Tristimun,ser,,,,,,Sea watch,,0,0,1,0,0,,,,,0,1,,0,0,1,Tristimun,unknown
214,Tristifer IV Mudd,,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0.053511706,0,Tristifer,unknown
